Positive_tests,Excess_mortality,Tests_across_all_4_Pillars,Season,Leisure_activity,Work_and_school_activity,Deaths_with_COVID_on_certificate,Reinfections,Patients_in_MVBs,Majority_COVID_19_variant,Lockdown,Hospital_admissions,Face_masks,Second_dose_uptake,Transportation_activity,Patients_in_hospital,New_infections
Very Low,Low,Very Low,Spring,Very High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,Very Low,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,Very High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,Very Low,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Very Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,Very Low,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,Low,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Very Low,Very Low,Spring,Very High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Very Low,Very Low,Spring,Low,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Very Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Very Low,Very Low,Spring,High,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Very Low,Very Low,Spring,Low,Very High,Very Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Very Low,Very Low,Spring,Low,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Very Low,Very Low,Spring,Very High,High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,High,Low,Very Low
Very Low,Low,Very Low,Spring,Low,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,Low,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,Very Low,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Very Low
Very Low,Low,Very Low,Spring,Low,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Very Low
Very Low,Low,Very Low,Spring,Very Low,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Very Low
Very Low,Low,Very Low,Spring,Low,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Very Low
Very Low,Low,Very Low,Spring,Low,Very High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Very Low
Very Low,Very Low,Very Low,Spring,High,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Very Low
Very Low,Very Low,Very Low,Spring,Very Low,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Very Low
Very Low,Very Low,Very Low,Spring,Very Low,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Very Low
Very Low,Very Low,Very Low,Spring,High,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Very Low
Very Low,Very Low,Very Low,Spring,High,Very High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Very Low
Low,Very Low,Very Low,Spring,Low,High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Very Low,Spring,Very High,High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Low,High,Low
Very Low,Very Low,Very Low,Spring,High,High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Very Low
Very Low,Very Low,Very Low,Spring,High,Very High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Very Low
Low,Very Low,Very Low,Spring,Very High,High,Low,Very Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,High,High,Very Low
Low,Very Low,Very Low,Spring,High,Very High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Very Low,Spring,High,High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Very Low,Spring,High,High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Low,Spring,High,Very High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Very Low,Spring,High,Very High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Very Low,Spring,Very Low,Very High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Low,Spring,Very Low,High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Low,Spring,Low,High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Low,Spring,Very Low,High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Low,Spring,Low,High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Low,Spring,Very Low,High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,High,High,Low
Low,Very Low,Low,Spring,Low,Very High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Very Low,Spring,Very Low,Very High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Low,Spring,Very Low,High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very Low,Low,Spring,Very Low,High,Low,Low,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
High,Very Low,Low,Spring,Very Low,High,Low,High,Very Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,Very Low,High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,High,High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,Low,Very High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
Low,Very Low,Low,Spring,High,Very High,Low,Low,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,Low
High,Very Low,Low,Spring,High,Very High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,High,Very High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,High,Very High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,High,High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,High,High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,High,Very High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,Low,Very High,Low,Low,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,Low,High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,High,Very High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,Very Low,High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,Low,High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,Low,High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Spring,Very Low,Very High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
Low,Very Low,Low,Spring,Very Low,Very High,Low,Low,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,Low,Low
High,Very Low,Low,Spring,Very Low,High,Low,Low,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,Low,High
High,Very Low,Low,Spring,Low,High,Low,Low,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,Low,High
High,Very Low,Low,Spring,Low,High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,Low,High
High,Very Low,Low,Spring,Low,High,Low,Low,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,Low,High
High,Very Low,Low,Spring,Low,Very High,Low,High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,Low,High
Low,Very Low,Low,Spring,Low,Very High,Very Low,Low,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,Low,Low
